,tweetid,user,content,date,lang,sentiment
0,772432598027145216,71546415,"Sin ser fan de Juan Gabriel, siempre supe que era una fuerza de la naturaleza. Hoy escuché ""Querida"", y me dio una ternura enorme.",Sun Sep 04 13:54:17 +0000 2016,es,P
1,772489016352669701,53311422,Sabes que no tendrás un buen día cuando lo primero que haces en la mañana es tratar de cambiar un foco y este te cae en la cara,Sun Sep 04 17:38:28 +0000 2016,es,N
2,771317218634149888,599653674,"En situaciones en las que no sepas que hacer, sumérgete en ti y sólo así podrás escuchar lo que tú alma y tu corazón tienen que decir",Thu Sep 01 12:02:09 +0000 2016,es,N
7,772240073597317120,3453491741,"Mi mamá compra pollo a la brasa de almuerzo y mi tío viene a visitarnos en la noche y trae otro pollo más, entiendan porque estoy bola",Sun Sep 04 01:09:15 +0000 2016,es,N
9,774612388435795968,714677089589452804,hoy me toco visitar a mamá en su descanso eterno le contare todo lo que vivo ella fue es y siempre sera mi MEJOR AMIGA sin igual,Sat Sep 10 14:15:59 +0000 2016,es,P
11,775087224857567232,714677089589452804,Lo que mas amo de mi escritorio es que hay una foto de el y mía juntos aparte de mi cuarto mis cuadro también están de el,Sun Sep 11 21:42:49 +0000 2016,es,P
16,769215099664039936,82235556,Ojala mi princesa no se ponga triste porq no fue su abuela elvira el dia de los abuelos solo su papito chus ella queria q vayan los dos,Fri Aug 26 16:49:05 +0000 2016,es,N
19,768663354537828352,423910199,"No sé si los maltrataban de verdad pero me dio penita ver eso No me gusto eso, no son objetos para que los traten así. Me indigna tanto",Thu Aug 25 04:16:39 +0000 2016,es,N
24,760495329053663233,200333457,Mi Jefazo hermoso @AlejandroSanz #DejaQueTeBese en @Fansdelaradio @CarlosJRubiofm @madshila @PaolaMattos11 #FanaticaSiempre @soleyvelez,Tue Aug 02 15:19:50 +0000 2016,es,P
26,765045217237962753,2860685698,Mi mamá odia que deje a Lola libre cerca de sus cosas y hoy la cagué y se comió el cargador de su laptop Ya balí berga,Mon Aug 15 04:39:28 +0000 2016,es,N
28,763176369127825408,555472635,#postrecito para endulzarme un poquito,Wed Aug 10 00:53:20 +0000 2016,es,P
31,765214517403975680,629453607,"Que haya una planta de tamarindo afuera de la que posiblemente va a ser la casa en la que vivas de vez en cuando, es una buena señal",Mon Aug 15 15:52:12 +0000 2016,es,P
33,764608480284143617,1002719012,Todo estaba bien hasta que me desilusionaron .....................me siento herida .......................que dolor ...... .....,Sat Aug 13 23:44:02 +0000 2016,es,N
34,765403081878204416,2836599447,"Sean las cuentas de Mc reales o no, no lo veo bien si quieren una cuenta consigan el dinero y cómprenla con su esfuerzo, no por rts",Tue Aug 16 04:21:29 +0000 2016,es,N
35,758355129896755200,36907575,@isachi8 gracias!!!!!! Washis estoy feliz y aprovechando todo lo q puedo gracias por los deseos y buena vibra. Un abrazote a la distancia,Wed Jul 27 17:35:27 +0000 2016,es,P
38,758751812543324162,42751652,@lagartoblue buen tip muchas gracias,Thu Jul 28 19:51:43 +0000 2016,es,P
40,758499052828839936,357297050,papá a veces compara mi ponderado semestral de 14 o 13 con los 17 u 18 y de mi primos y PAPÁ ESTOY EN UNA UNIVERSIDAD NACIONAL,Thu Jul 28 03:07:21 +0000 2016,es,N
46,767203472466964481,3174532732,#EVDLV @ErnestoJimenex es el hombre perfecto,Sun Aug 21 03:35:36 +0000 2016,es,P
47,761458753447292928,108920061,Nada como el nuevo #InstagramStories,Fri Aug 05 07:08:08 +0000 2016,es,P
52,761453592389779456,1637649008,Me he puesto nervioso por la función de mañana. Y si me da una laguna mental??? Mierda ahora no puedo dejar de pensar en eso,Fri Aug 05 06:47:38 +0000 2016,es,N
58,777514447724306433,282366823,Si la ven díganle que se Pudraa por que si la veo yo le voy a gritar lo que la enfada PUTAAAA jajaja buenos mundo días amanecí Feliz,Sun Sep 18 14:27:44 +0000 2016,es,P
59,778819488728821760,798676279,@AlejoAbarca muy underground ya mano,Thu Sep 22 04:53:30 +0000 2016,es,N
62,783736079924940800,2812667117,Si te doy sincero Quisiera salir de mi casa ! En búsqueda de la felicidad ! Y me refiero a buscarte ! Aunque no sepa do de estés,Wed Oct 05 18:30:17 +0000 2016,es,P
64,784229178258358272,602247520,@sigridbazan Tu optimismo es admirable,Fri Oct 07 03:09:41 +0000 2016,es,P
66,783113078095380480,168854991,"@ViviRivasPlata dias q m hacen reir con sus ocurrencias con sus reportajes sigan asi, xq lo demas es recontra aburrido!!!!!!!! kisses",Tue Oct 04 01:14:42 +0000 2016,es,P
67,783532540913123328,75698450,"Me está costando creer que mi perro ya es viejito ya no me escucha , se tropieza con todo y ya no me pasa cuando corremos juntos",Wed Oct 05 05:01:29 +0000 2016,es,N
70,780169626944675840,3260491297,@IsabelPalomar espero que te mejores,Sun Sep 25 22:18:28 +0000 2016,es,P
71,780255431130308609,118938637,Buena pela #LaPeorDeMisBodas @maricarmenmarin @gabrielsotoMEX @rickytosso @adolfoaguilarv @DarleneRosas @EmanuelSoriano buen elenco,Mon Sep 26 03:59:25 +0000 2016,es,P
77,781868317652946944,773395613513900032,@PatoParodiC espero que te mejores,Fri Sep 30 14:48:27 +0000 2016,es,P
79,782762375866974209,237924993,Un chico vino desde adelante a sentarse cerca de mi sólo a preguntarme la hora... Quizás era el amor de mi vida y yo lo mire feo,Mon Oct 03 02:01:08 +0000 2016,es,N
